dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,exception
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.3652065277561576,11,1.1005536448257914e-16,seconds,0.21356558799743652,0.06702544540166855,megabytes,2130.0,2130.0,37.0,37.0,0.021872640000000002,0.021872640000000002,0.12734375,0.12734375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.57512527723137,11,1.2879567456711022e-16,seconds,0.2466106414794922,0.05740979965776205,megabytes,2132.0,2132.0,31.0,31.0,0.021798912,0.021798912,0.07734375,0.07734375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.8349928526731231,11,1.2434400763758189e-16,seconds,0.3272883892059326,0.07427519746124744,megabytes,2130.0,2130.0,38.0,38.0,0.02193408,0.02193408,0.13359375,0.13359375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,1.0928817518857183,11,9.508135804125876e-17,seconds,0.21651268005371094,0.06659325957298279,megabytes,2132.0,2132.0,55.0,55.0,0.021839872,0.021839872,0.16640625,0.16640625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.4742629517309426,11,1.1183808122461878e-16,seconds,0.32151246070861816,0.16888096276670694,megabytes,2130.0,2130.0,30.0,30.0,0.02197504,0.02197504,0.11171875,0.11171875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.9849022252402577,11,1.9867885927642257e-16,seconds,0.21416163444519043,0.07111936900764704,megabytes,2132.0,2132.0,55.0,55.0,0.0217088,0.0217088,0.1640625,0.1640625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.5522073388068999,11,6.220765266609821e-17,seconds,0.22732782363891602,0.06146017927676439,megabytes,2130.0,2130.0,33.0,33.0,0.021618688,0.021618688,0.08046875,0.08046875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.7561309055467247,11,4.618839856990509e-16,seconds,0.3022186756134033,0.05628209374845028,megabytes,2132.0,2132.0,61.0,61.0,0.021811200000000003,0.021811200000000003,0.05703125,0.05703125,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.3738405620106132,11,1.2985032660139e-16,seconds,0.24301648139953613,0.06713258381932974,megabytes,2130.0,2130.0,30.0,30.0,0.021815296,0.021815296,0.08046875,0.08046875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.6009374003697544,11,1.9376467985951996e-16,seconds,0.23366093635559082,0.056751358322799206,megabytes,2132.0,2132.0,36.0,36.0,0.021618688,0.021618688,0.11484375,0.11484375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.6459624722285096,11,1.1935895619773742e-16,seconds,0.32210326194763184,0.07411003578454256,megabytes,2130.0,2130.0,50.0,50.0,0.021569536,0.021569536,0.13046875,0.13046875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.6274574563347488,11,7.177656915651559e-17,seconds,0.23596882820129395,0.1195163344964385,megabytes,5056.0,5056.0,26.0,26.0,0.019976192,0.019976192,0.26484375,0.26484375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.8181526735491096,11,7.606598653268904e-17,seconds,0.22146868705749512,0.05712169501930475,megabytes,2130.0,2130.0,9.0,9.0,0.021680128,0.021680128,0.08515625,0.08515625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,1.3420253743270374,11,1.0471629025835041e-16,seconds,0.23825335502624512,0.06293824780732393,megabytes,2132.0,2132.0,56.0,56.0,0.021704704000000002,0.021704704000000002,0.11796875,0.11796875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.4943362372521024,11,1.1640298120439458e-16,seconds,0.2385551929473877,0.06950415670871735,megabytes,2130.0,2130.0,30.0,30.0,0.021577728,0.021577728,0.11796875,0.11796875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,1.0690555325548083,11,1.044026091579254e-16,seconds,0.23789095878601074,0.05697514861822128,megabytes,2132.0,2132.0,30.0,30.0,0.021671936000000003,0.021671936000000003,0.0765625,0.0765625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,1.1225925809782193,11,3.0737711822585227e-16,seconds,0.25076746940612793,0.05634955409914255,megabytes,2130.0,2130.0,36.0,36.0,0.021958656,0.021958656,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,1.3546333971469497,11,1.0253118650776593e-16,seconds,0.24498248100280762,0.12807757407426834,megabytes,5056.0,5056.0,32.0,32.0,0.019968,0.019968,0.33203125,0.33203125,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,1.129030978734143,11,1.1836625464779806e-16,seconds,0.24634313583374023,0.07419727928936481,megabytes,2130.0,2130.0,55.0,55.0,0.021659648,0.021659648,0.14609375,0.14609375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.691502196615638,11,9.781381668080907e-17,seconds,0.25780153274536133,0.12083791475743055,megabytes,5056.0,5056.0,30.0,30.0,0.019922944,0.019922944,0.2078125,0.2078125,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,1.0113428580108472,11,6.70906066718581e-17,seconds,0.25205421447753906,0.12045616190880537,megabytes,5054.0,5054.0,44.0,44.0,0.020066304,0.020066304,0.29140625,0.29140625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,1.3171367627541666,11,1.268920224945041e-16,seconds,0.3032824993133545,0.14160418696701527,megabytes,2132.0,2132.0,25.0,25.0,0.019931136000000002,0.019931136000000002,0.20859375,0.20859375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.5605338895663056,11,5.003229889996613e-17,seconds,0.22926831245422363,0.05950781609863043,megabytes,2130.0,2130.0,51.0,51.0,0.02174976,0.02174976,0.11953125,0.11953125,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.6595659328594468,11,5.655040548822593e-17,seconds,0.3590097427368164,0.05674797482788563,megabytes,2132.0,2132.0,30.0,30.0,0.02162688,0.02162688,0.07109375,0.07109375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.8415194550805907,11,3.0577452520709597e-16,seconds,0.236250638961792,0.1308912532404065,megabytes,5054.0,5054.0,30.0,30.0,0.019951616000000002,0.019951616000000002,0.26875,0.26875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,1.2640779582232309,11,9.364062378612952e-17,seconds,0.38462185859680176,0.16090857423841953,megabytes,2132.0,2132.0,32.0,32.0,0.02162688,0.02162688,0.13203125,0.13203125,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.869111090495768,11,6.221283042020619e-17,seconds,0.5371377468109131,0.07757088541984558,megabytes,2130.0,2130.0,0.0,0.0,0.021659648,0.021659648,0.0625,0.0625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.6307097066275285,11,3.910514725989133e-17,seconds,1.3784050941467285,1.2163724228739738,megabytes,33444.0,33444.0,100.0,44.166666666666664,0.055250944,0.055250944,0.73359375,0.4766927083333334,success,sinkhorn-normed,1.0,1000000,
