dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,cost_normed,cost_diff
1D-gaussian-1c-128p,128,128,0.24994180353181047,11,7.967478272756624e-17,seconds,0.0,0.003936460241675377,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.07243881525468997,11,1.3827235416080631e-16,seconds,0.0,0.0035895537585020065,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.031015737874471757,11,1.4385205847289228e-16,seconds,0.0,0.004010338336229324,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.1812562659670331,11,1.627951906949211e-16,seconds,0.0,0.0037881359457969666,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.26645154070083465,11,1.349991156047983e-16,seconds,0.0,0.0036170948296785355,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.03704100706282866,11,1.465343496392189e-16,seconds,0.0,0.0037109628319740295,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.512975861552214,11,1.3994088486988292e-16,seconds,0.0,0.003755541518330574,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.01990790304566608,11,1.6964293424503346e-16,seconds,0.0,0.0037526804953813553,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.028767118635278022,11,1.4682120804766687e-16,seconds,0.0,0.0037270113825798035,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.0892243421424882,11,1.2586477484470656e-16,seconds,0.0,0.0037972964346408844,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.020630767302683338,11,1.318955814736964e-16,seconds,0.0,0.003657899796962738,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.10414641012072626,11,1.557611624426656e-16,seconds,0.0,0.0036324486136436462,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.48505581146577254,11,1.5110170244916168e-16,seconds,0.0,0.003770003095269203,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.29067780516046715,11,1.172112257453202e-16,seconds,0.0,0.003691231831908226,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.03068984549013543,11,1.7163529874051178e-16,seconds,0.0,0.003906672820448875,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.5018340840918363,11,9.347446222448826e-17,seconds,0.0,0.003674279898405075,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
