dataset,mu_size,nu_size,cost,cost_normed,cost_diff,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-gaussian-1c-512p,512,512,0.008103522887881761,0.0020258807219704403,0.0060776421659113206,1000000,0.01028158931336511,seconds,54.28791284561157,54.15046993456781,megabytes,556.0,556.0,73.0,65.6468085106383,0.121729024,0.121729024,0.81640625,0.7774035904255316,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-512p,512,512,0.3585914131572935,0.08964785328932337,0.26894355986797014,1000000,0.0670353736905599,seconds,53.60538458824158,53.456629261374474,megabytes,556.0,556.0,73.0,65.84848484848484,0.121720832,0.121720832,0.81484375,0.7782535173160174,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-512p,512,512,0.6005491693971752,0.1501372923492938,0.4504118770478814,1000000,0.08321596054888152,seconds,55.04545998573303,54.9189942702651,megabytes,556.0,556.0,68.0,64.74688796680498,0.12180684800000001,0.12180684800000001,0.81328125,0.7772432572614099,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.39138905819241915,0.09784726454810479,0.2935417936443144,1000000,0.04807216463243973,seconds,58.91917681694031,58.79887759499252,megabytes,580.0,580.0,76.0,72.98106060606061,0.138620928,0.138620928,0.83984375,0.7731149384469692,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.04880514539063241,0.012201286347658102,0.03660385904297431,1000000,0.01816027757427471,seconds,57.6903612613678,57.50977946072817,megabytes,580.0,580.0,78.0,74.95510204081633,0.12316262400000001,0.12316262400000001,0.83125,0.7775382653061227,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.9289714106213167,0.23224285265532918,0.6967285579659875,1000000,0.06919794394200253,seconds,57.70333528518677,57.53725705482066,megabytes,580.0,580.0,78.0,74.91732283464567,0.12278169600000001,0.12278169600000001,0.81171875,0.7746924212598427,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.22569462558145725,0.05642365639536431,0.16927096918609294,1000000,0.037604203215997105,seconds,57.993804693222046,57.95840001106262,megabytes,580.0,580.0,77.0,73.91011235955057,0.12266700800000001,0.12266700800000001,0.82265625,0.7794153792134834,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.018197297919295696,0.004549324479823924,0.013647973439471772,1000000,0.011226515469915644,seconds,57.894262075424194,57.872428530827165,megabytes,580.0,580.0,77.0,74.24806201550388,0.122761216,0.122761216,0.8171875,0.7798389050387599,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.2746370032080481,0.06865925080201203,0.2059777524060361,1000000,0.04177757054530349,seconds,57.88796949386597,57.767382146790624,megabytes,580.0,580.0,77.0,74.10588235294118,0.12271206400000001,0.12271206400000001,0.81953125,0.7775337009803921,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.047092793856937196,0.011773198464234299,0.03531959539270289,1000000,0.017937573924017083,seconds,57.70086145401001,57.61939033865929,megabytes,580.0,580.0,77.0,74.92913385826772,0.12267929600000001,0.12267929600000001,0.81953125,0.7791707677165355,success,sinkhorn-normed-log,1e-08,1000000
