dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol
1D-gaussian-2c-32p,32,32,0.162317674946582,313,8.21142465427415e-07,seconds,0.22662091255187988,0.09712526760995388,megabytes,544.0,544.0,19.0,19.0,0.23187865600000002,0.23187865600000002,0.24765625,0.24765625,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.16773851353694547,2515,8.39650125730753e-07,seconds,2.892789363861084,2.7833836507052183,megabytes,546.0,546.0,93.0,22.214285714285715,0.289009664,0.325742592,1.06171875,0.6914062500000001,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.13546806213909668,1975,4.896628010345573e-07,seconds,0.6091845035552979,0.5391093604266644,megabytes,546.0,546.0,93.0,61.666666666666664,0.237699072,0.237699072,0.7515625,0.6703125000000001,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.1524945608902643,2309,9.069156485738497e-07,seconds,0.6233043670654297,0.6270853653550148,megabytes,546.0,546.0,93.0,62.0,0.237658112,0.237658112,0.803125,0.7864583333333334,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.15708600258587654,2988,3.5421942000505654e-07,seconds,0.7990779876708984,0.7965716831386089,megabytes,546.0,546.0,93.0,70.5,0.23765401600000002,0.23765401600000002,0.809375,0.78984375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.1537805927453663,2243,4.926387046859414e-07,seconds,0.6024858951568604,0.6083582285791636,megabytes,546.0,546.0,93.0,61.333333333333336,0.237555712,0.237555712,0.79609375,0.771875,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.15545596476350299,2386,3.597695213918215e-07,seconds,0.8115477561950684,0.6439808644354343,megabytes,546.0,546.0,93.0,70.25,0.23959552,0.23959552,0.76953125,0.573046875,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.16082916519475857,2542,6.417038180923494e-07,seconds,0.81581711769104,0.6852139048278332,megabytes,546.0,546.0,93.0,66.5,0.23746150400000002,0.23746150400000002,0.8109375,0.6281249999999999,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.16068974549121298,2674,8.578362932418441e-07,seconds,0.7870974540710449,0.7176539860665798,megabytes,546.0,546.0,93.0,64.5,0.2376704,0.2376704,0.79765625,0.7150390625,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.17449542045043115,2521,2.727385464573129e-07,seconds,0.7968459129333496,0.6780821271240711,megabytes,546.0,546.0,93.0,67.75,0.23740416,0.23740416,0.79375,0.63984375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.15547921572561635,2052,5.653758089029055e-07,seconds,0.7169179916381836,0.5818488579243422,megabytes,546.0,546.0,92.0,59.333333333333336,0.23734272,0.23734272,0.7671875,0.5934895833333335,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.16043913291646505,2400,4.115202496991804e-07,seconds,0.7850267887115479,0.6447165030986071,megabytes,546.0,546.0,93.0,73.75,0.23775641600000003,0.23775641600000003,0.80234375,0.6248046875000001,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.162027659337107,2938,6.950029450832747e-07,seconds,0.859792947769165,0.8037835881114006,megabytes,546.0,546.0,93.0,80.0,0.23733862400000003,0.23733862400000003,0.77578125,0.7109375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-64p,64,64,0.15122075340098007,3016,6.615844755887515e-07,seconds,0.787783145904541,0.7983609084039927,megabytes,546.0,546.0,93.0,74.75,0.23723622400000002,0.23723622400000002,0.7625,0.7578125,success,lbfgs,1.0,100000,1e-06
